candidate_id,Fe,Co,Mn,Ga,Al,Si,Ge,Pt,kxx,S_ANE,kappa_source,cycle_added,reference,label,sample_id,historical_split,FOM_absS_over_kappa,active_order,diversity_raw_order,diversity_feature_order
EXP_01,0.69,0.0,0.0,0.14,0.16,0.0,0.0,0.01,14.7144,3.515,measured,1,This work,Fe0.69Ga0.14Al0.16Pt0.01,,,0.23888163975425436,1,17,18
EXP_02,0.69,0.0,0.0,0.24,0.06,0.0,0.0,0.01,12.786,3.617,measured,1,This work,Fe0.69Ga0.24Al0.06Pt0.01,,,0.2828875332394807,2,16,13
EXP_03,0.45,0.0,0.25,0.09,0.19,0.0,0.0,0.02,7.2964,0.051,measured,1,This work,Fe0.45Mn0.25Ga0.09Al0.19Pt0.02,,,0.006989748369058713,3,15,22
EXP_04,0.46,0.0,0.24,0.16,0.12,0.0,0.0,0.02,9.859,0.176,measured,1,This work,Fe0.46Mn0.24Ga0.16Al0.12Pt0.02,,,0.017851709098285828,4,4,4
EXP_05,0.7,0.0,0.0,0.03,0.26,0.0,0.0,0.01,10.8356,2.159,measured,1,This work,Fe0.70Ga0.03Al0.26Pt0.01,,,0.19925061833216434,5,19,12
EXP_06,0.5,0.0,0.25,0.02,0.23,0.0,0.0,0.0,9.346,0.045,measured,1,This work,Fe0.50Mn0.25Ga0.02Al0.23,,,0.004814894072330408,6,5,10
EXP_07,0.51,0.15,0.03,0.29,0.0,0.0,0.02,0.0,11.2582,2.604,measured,1,This work,Fe0.51Co0.15Mn0.03Ga0.29Ge0.02,,,0.2312980760689986,7,11,20
EXP_08,0.59,0.05,0.05,0.29,0.0,0.0,0.02,0.0,9.5534,1.851,measured,1,This work,Fe0.59Co0.05Mn0.05Ga0.29Ge0.02,,,0.19375300939979484,8,12,8
EXP_09,0.52,0.04,0.13,0.3,0.0,0.0,0.01,0.0,8.4114,0.336,measured,1,This work,Fe0.52Co0.04Mn0.13Ga0.30Ge0.01,,,0.03994578785933376,9,13,16
EXP_10,0.06,0.5,0.13,0.29,0.0,0.0,0.02,0.0,12.049,1.426,measured,1,This work,Fe0.06Co0.50Mn0.13Ga0.29Ge0.02,,,0.11835007054527347,10,6,5
EXP_11,0.0,0.6,0.09,0.3,0.0,0.0,0.0,0.01,25.48,1.034,measured,2,This work,Co0.60Mn0.09Ga0.30Pt0.01,,,0.04058084772370487,11,9,7
EXP_12,0.1,0.59,0.0,0.29,0.01,0.0,0.0,0.01,12.1932,1.924,measured,2,This work,Fe0.10Co0.59Ga0.29Al0.01Pt0.01,,,0.1577928681560214,12,3,3
EXP_13,0.74,0.0,0.0,0.24,0.0,0.0,0.0,0.02,14.9826,5.289,measured,2,This work,Fe0.74Ga0.24Pt0.02,,,0.3530094910095711,13,24,14
EXP_14,0.0,0.59,0.17,0.24,0.0,0.0,0.0,0.0,19.0844,3.145,measured,2,This work,Co0.59Mn0.17Ga0.24,,,0.16479428224099266,14,14,17
EXP_15,0.78,0.01,0.0,0.01,0.19,0.0,0.0,0.01,11.9444,3.018,measured,2,This work,Fe0.78Co0.01Ga0.01Al0.19Pt0.01,,,0.2526707076119353,15,18,9
EXP_16,0.5,0.0,0.19,0.12,0.02,0.0,0.0,0.17,6.4084,0.059,measured,2,This work,Fe0.50Mn0.19Ga0.12Al0.02Pt0.17,,,0.009206666250546157,16,10,2
EXP_17,0.46,0.0,0.23,0.03,0.04,0.0,0.01,0.23,10.8282,0.251,measured,2,This work,Fe0.46Mn0.23Ga0.03Al0.04Ge0.01Pt0.23,,,0.023180214624776048,17,1,6
EXP_18,0.35,0.1,0.24,0.0,0.11,0.0,0.03,0.17,8.5858,0.006,measured,2,This work,Fe0.35Co0.10Mn0.24Al0.11Ge0.03Pt0.17,,,0.000698828297887209,18,7,23
EXP_19,0.25,0.19,0.25,0.0,0.09,0.0,0.06,0.16,8.6528,0.024,measured,2,This work,Fe0.25Co0.19Mn0.25Al0.09Ge0.06Pt0.16,,,0.0027736686390532547,19,2,1
EXP_20,0.0,0.57,0.14,0.01,0.27,0.01,0.0,0.0,9.1302,2.518,measured,2,This work,Co0.57Mn0.14Ga0.01Al0.27Si0.01,,,0.27578804407351426,20,8,11
EXP_21,0.73,0.0,0.0,0.19,0.08,0.0,0.0,0.0,14.2766,4.414,measured,3,This work,Fe0.73Ga0.19Al0.08,,,0.3091772550887466,21,22,24
EXP_22,0.71,0.0,0.0,0.24,0.05,0.0,0.0,0.0,13.4628,3.973,measured,3,This work,Fe0.71Ga0.24Al0.05,,,0.29510948688237215,22,23,21
EXP_23,0.75,0.0,0.0,0.13,0.12,0.0,0.0,0.0,15.043,5.403,measured,3,This work,Fe0.75Ga0.13Al0.12,,,0.3591703782490195,23,25,25
EXP_24,0.75,0.0,0.0,0.21,0.03,0.0,0.0,0.01,15.8596,4.251,measured,3,This work,Fe0.75Ga0.21Al0.03Pt0.01,,,0.26803954702514565,24,20,15
EXP_25,0.71,0.0,0.0,0.27,0.01,0.0,0.0,0.01,13.1678,2.404,measured,3,This work,Fe0.71Ga0.27Al0.01Pt0.01,,,0.18256656389070308,25,21,19
