cycle,branch,target,n_test,MAE,MAE_CI_low,MAE_CI_high,MAE_error_low,MAE_error_high,bootstrap_iterations,bootstrap_confidence,selected_for_active_learning
1,real-only,kxx,9,3.7401934444444436,2.4190255388888886,5.47419838611111,1.321167905555555,1.734004941666666,5000,0.95,False
1,real-only,S_ANE,9,0.549155971111111,0.3378302622222221,0.7834331415000001,0.2113257088888889,0.23427717038888907,5000,0.95,False
1,augmented,kxx,9,3.011283222222222,1.919742238888889,4.261151324999999,1.0915409833333332,1.2498681027777772,5000,0.95,True
1,augmented,S_ANE,9,0.46265520999999993,0.24175803666666665,0.7228968938611111,0.22089717333333328,0.2602416838611112,5000,0.95,True
2,real-only,kxx,10,2.1366951,1.3553823950000001,2.9851984075,0.7813127049999997,0.8485033075000001,5000,0.95,True
2,real-only,S_ANE,10,0.790731097,0.4024539454750002,1.2638308985499989,0.3882771515249998,0.47309980154999887,5000,0.95,True
2,augmented,kxx,10,2.84975065,1.680499443750001,4.037873091249999,1.169251206249999,1.188122441249999,5000,0.95,False
2,augmented,S_ANE,10,0.8674232459999999,0.45989112605000004,1.3114982703999998,0.4075321199499998,0.4440750243999999,5000,0.95,False
3,real-only,kxx,10,3.193511499999999,1.3257690974999998,6.018275092499993,1.8677424024999993,2.8247635924999934,5000,0.95,False
3,real-only,S_ANE,10,0.723485328,0.38050195382500024,1.1214356974249993,0.34298337417499974,0.3979503694249993,5000,0.95,False
3,augmented,kxx,10,2.7547823,1.2965494850000006,5.265284327499999,1.4582328149999995,2.510502027499999,5000,0.95,True
3,augmented,S_ANE,10,0.35797649299999995,0.20921440157500007,0.5457891034999997,0.14876209142499988,0.1878126104999997,5000,0.95,True
