label,cycle,selection_type,PC1,PC2
Fe0.69Ga0.14Al0.16Pt0.01,1,exploitation,-1.3076233416803242,-0.8400359351928672
Fe0.69Ga0.24Al0.06Pt0.01,1,exploitation,-1.8606011198113472,-0.3016785974551395
Fe0.45Mn0.25Ga0.09Al0.19Pt0.02,1,exploitation,0.7855808545456295,-0.785576895980713
Fe0.46Mn0.24Ga0.16Al0.12Pt0.02,1,exploitation,0.32687838137056185,-0.4229148088363057
Fe0.70Ga0.03Al0.26Pt0.01,1,exploitation,-0.7285357570837923,-1.4358633376518086
Fe0.50Mn0.25Ga0.02Al0.23,1,exploration,0.9158203096508001,-1.1257403015910374
Fe0.51Co0.15Mn0.03Ga0.29Ge0.02,1,exploration,-1.3351385076200915,0.7489451275893845
Fe0.59Co0.05Mn0.05Ga0.29Ge0.02,1,exploration,-1.4391914721442718,0.2525765301426527
Fe0.52Co0.04Mn0.13Ga0.30Ge0.01,1,exploration,-1.082082149237003,0.40527485269243135
Fe0.06Co0.50Mn0.13Ga0.29Ge0.02,1,exploration,0.24655335243149495,2.727432056277009
Co0.60Mn0.09Ga0.30Pt0.01,2,exploitation,-0.06409140139452753,3.2974964245799683
Fe0.10Co0.59Ga0.29Al0.01Pt0.01,2,exploitation,-0.6780847820806643,3.0634937777590885
Fe0.74Ga0.24Pt0.02,2,exploitation,-1.9510884101250472,-0.34727944496396046
Co0.59Mn0.17Ga0.24,2,exploitation,0.5561422253443443,3.037500822653863
Fe0.78Co0.01Ga0.01Al0.19Pt0.01,2,exploitation,-0.8559030414368635,-1.5237693141272157
Fe0.50Mn0.19Ga0.12Al0.02Pt0.17,2,exploration,1.050955817918075,-1.1170015509185298
Fe0.46Mn0.23Ga0.03Al0.04Ge0.01Pt0.23,2,exploration,2.303631555712444,-1.7471787786233413
Fe0.35Co0.10Mn0.24Al0.11Ge0.03Pt0.17,2,exploration,2.727332990574965,-1.2808434064501977
Fe0.25Co0.19Mn0.25Al0.09Ge0.06Pt0.16,2,exploration,3.3734832469678504,-0.8804539306120407
Co0.57Mn0.14Ga0.01Al0.27Si0.01,2,exploration,2.911334210423203,3.2089834884129647
Fe0.73Ga0.19Al0.08,3,exploitation,-1.7563166825605063,-0.5579653973421153
Fe0.71Ga0.24Al0.05,3,exploitation,-1.9744296289308265,-0.2815180665783756
Fe0.75Ga0.13Al0.12,3,exploitation,-1.482905958377083,-0.8882484618796278
Fe0.75Ga0.21Al0.03Pt0.01,3,exploitation,-1.8698356144576196,-0.48499178446108043
Fe0.71Ga0.27Al0.01Pt0.01,3,exploitation,-2.0848703959458503,-0.14744005802869323
Fe0.54Co0.06Mn0.18Ga0.10Ge0.04Pt0.08,3,exploration,1.0197748179979067,-0.86119115052204
Fe0.46Co0.14Mn0.18Ga0.10Ge0.06Pt0.06,3,exploration,1.378317352336728,-0.4622023365842745
Fe0.52Co0.08Mn0.18Ga0.14Ge0.04Pt0.04,3,exploration,0.6262312453465373,-0.43118250514225326
Fe0.42Co0.22Mn0.14Ga0.12Ge0.04Pt0.06,3,exploration,0.9074644499751433,0.08417801906594716
Fe0.54Co0.06Mn0.18Ga0.10Ge0.08Pt0.04,3,exploration,1.3411974522901393,-0.9028050362316921
