historical_split,source_row_1based,Fe,Co,Mn,Ga,Al,Si,Ge,Pt,kxx,S_ANE,si_table_row,sample_id,si_composition,si_source,composition_L1_to_SI_normalized,kxx_difference_from_SI_rounded,S_ANE_difference_from_SI_rounded,composition_sum
train,1,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,19.4804,5.878,1,C1_S1_001,Fe0.750Ga0.250,This work,0.0,0.00039999999999906777,-0.0019999999999997797,1.0
train,2,0.75,0.0,0.0,0.0,0.25,0.0,0.0,0.0,18.30473,4.00036,2,C1_S1_002,Fe0.750Al0.250,This work,0.0,0.004729999999998569,0.0003599999999996939,1.0
train,3,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,32.9355,2.30339,3,C1_S1_003,Fe0.750Si0.250,This work,0.0,-0.0045000000000001705,0.003390000000000004,1.0
test,1,0.75,0.0,0.0,0.125,0.0,0.0,0.125,0.0,20.2354,2.882,4,C1_S1_004,Fe0.750Ga0.125Ge0.125,This work,0.0,-0.0045999999999999375,0.002000000000000224,1.0
train,4,0.75,0.0,0.0,0.1875,0.0625,0.0,0.0,0.0,17.967,5.6,5,C1_S1_005,Fe0.750Ga0.188Al0.063,This work,0.0014985014985014755,-0.0030000000000001137,0.0,1.0
train,6,0.75,0.0,0.0,0.0625,0.1875,0.0,0.0,0.0,15.5168,4.82,6,C1_S1_006,Fe0.750Ga0.063Al0.188,This work,0.0014985014985014755,-0.0031999999999996476,0.0,1.0
test,2,0.75,0.0,0.0,0.125,0.0,0.125,0.0,0.0,16.6792,2.655,7,C1_S1_007,Fe0.750Ga0.125Si0.125,This work,0.0,-0.0007999999999981355,-0.0050000000000003375,1.0
test,3,0.75,0.0,0.0,0.0,0.125,0.125,0.0,0.0,17.9094,2.391,8,C1_S1_008,Fe0.750Al0.125Si0.125,This work,0.0,-0.0005999999999986017,0.0009999999999998899,1.0
test,4,0.751879699,0.0,0.0,0.082706767,0.082706767,0.082706767,0.0,0.0,11.686,2.677,9,C1_S1_009,Fe0.752Ga0.083Al0.083Si0.083,This work,0.00126189550249739,-0.0039999999999995595,-0.0030000000000001137,1.0
test,5,0.751879699,0.0,0.0,0.082706767,0.082706767,0.0,0.082706767,0.0,16.66,3.513,10,C1_S1_010,Fe0.752Ga0.083Al0.083Ge0.083,This work,0.00126189550249739,0.0,0.0030000000000001137,1.0
