Fe,Co,Mn,Ga,Al,Si,Ge,Pt,cycle,selection_type,pred_kxx,pred_S_ANE,measured_kxx,measured_S_ANE,label
0.69,0.0,0.0,0.14,0.16,0.0,0.0,0.01,1,exploitation,16.2127,5.21907,14.7144,3.515,Fe0.69Ga0.14Al0.16Pt0.01
0.69,0.0,0.0,0.24,0.06,0.0,0.0,0.01,1,exploitation,16.1447,5.18933,12.786,3.617,Fe0.69Ga0.24Al0.06Pt0.01
0.45,0.0,0.25,0.09,0.19,0.0,0.0,0.02,1,exploitation,15.5618,4.86434,7.2964,0.051,Fe0.45Mn0.25Ga0.09Al0.19Pt0.02
0.46,0.0,0.24,0.16,0.12,0.0,0.0,0.02,1,exploitation,15.5231,4.83759,9.859,0.176,Fe0.46Mn0.24Ga0.16Al0.12Pt0.02
0.7,0.0,0.0,0.03,0.26,0.0,0.0,0.01,1,exploitation,16.65,5.17157,10.8356,2.159,Fe0.70Ga0.03Al0.26Pt0.01
0.5,0.0,0.25,0.02,0.23,0.0,0.0,0.0,1,exploration,16.2787,4.64637,9.346,0.045,Fe0.50Mn0.25Ga0.02Al0.23
0.51,0.15,0.03,0.29,0.0,0.0,0.02,0.0,1,exploration,14.652,2.3551,11.2582,2.604,Fe0.51Co0.15Mn0.03Ga0.29Ge0.02
0.59,0.05,0.05,0.29,0.0,0.0,0.02,0.0,1,exploration,14.7016,2.49416,9.5534,1.851,Fe0.59Co0.05Mn0.05Ga0.29Ge0.02
0.52,0.04,0.13,0.3,0.0,0.0,0.01,0.0,1,exploration,14.652,2.64485,8.4114,0.336,Fe0.52Co0.04Mn0.13Ga0.30Ge0.01
0.06,0.5,0.13,0.29,0.0,0.0,0.02,0.0,1,exploration,14.5159,2.20113,12.049,1.426,Fe0.06Co0.50Mn0.13Ga0.29Ge0.02
0.0,0.6,0.09,0.3,0.0,0.0,0.0,0.01,2,exploitation,17.4978,5.54525,25.48,1.034,Co0.60Mn0.09Ga0.30Pt0.01
0.1,0.59,0.0,0.29,0.01,0.0,0.0,0.01,2,exploitation,15.8128,4.57661,12.1932,1.924,Fe0.10Co0.59Ga0.29Al0.01Pt0.01
0.74,0.0,0.0,0.24,0.0,0.0,0.0,0.02,2,exploitation,16.0539,5.35388,14.9826,5.289,Fe0.74Ga0.24Pt0.02
0.0,0.59,0.17,0.24,0.0,0.0,0.0,0.0,2,exploitation,17.7809,5.49958,19.0844,3.145,Co0.59Mn0.17Ga0.24
0.78,0.01,0.0,0.01,0.19,0.0,0.0,0.01,2,exploitation,16.2206,4.76236,11.9444,3.018,Fe0.78Co0.01Ga0.01Al0.19Pt0.01
0.5,0.0,0.19,0.12,0.02,0.0,0.0,0.17,2,exploration,12.1743,1.00419,6.4084,0.059,Fe0.50Mn0.19Ga0.12Al0.02Pt0.17
0.46,0.0,0.23,0.03,0.04,0.0,0.01,0.23,2,exploration,13.9373,1.14716,10.8282,0.251,Fe0.46Mn0.23Ga0.03Al0.04Ge0.01Pt0.23
0.35,0.1,0.24,0.0,0.11,0.0,0.03,0.17,2,exploration,11.4811,0.30812,8.5858,0.006,Fe0.35Co0.10Mn0.24Al0.11Ge0.03Pt0.17
0.25,0.19,0.25,0.0,0.09,0.0,0.06,0.16,2,exploration,11.7137,0.30187,8.6528,0.024,Fe0.25Co0.19Mn0.25Al0.09Ge0.06Pt0.16
0.0,0.57,0.14,0.01,0.27,0.01,0.0,0.0,2,exploration,16.1996,2.81436,9.1302,2.518,Co0.57Mn0.14Ga0.01Al0.27Si0.01
0.73,0.0,0.0,0.19,0.08,0.0,0.0,0.0,3,exploitation,17.0648,5.30678,14.2766,4.414,Fe0.73Ga0.19Al0.08
0.71,0.0,0.0,0.24,0.05,0.0,0.0,0.0,3,exploitation,17.4186,5.39613,13.4628,3.973,Fe0.71Ga0.24Al0.05
0.75,0.0,0.0,0.13,0.12,0.0,0.0,0.0,3,exploitation,16.7926,5.19839,15.043,5.403,Fe0.75Ga0.13Al0.12
0.75,0.0,0.0,0.21,0.03,0.0,0.0,0.01,3,exploitation,16.2417,5.01605,15.8596,4.251,Fe0.75Ga0.21Al0.03Pt0.01
0.71,0.0,0.0,0.27,0.01,0.0,0.0,0.01,3,exploitation,16.3479,5.03351,13.1678,2.404,Fe0.71Ga0.27Al0.01Pt0.01
0.54,0.06,0.18,0.1,0.0,0.0,0.04,0.08,3,exploration,8.81457,0.48836,,,Fe0.54Co0.06Mn0.18Ga0.10Ge0.04Pt0.08
0.46,0.14,0.18,0.1,0.0,0.0,0.06,0.06,3,exploration,8.53512,0.49539,,,Fe0.46Co0.14Mn0.18Ga0.10Ge0.06Pt0.06
0.52,0.08,0.18,0.14,0.0,0.0,0.04,0.04,3,exploration,8.2905,0.42864,,,Fe0.52Co0.08Mn0.18Ga0.14Ge0.04Pt0.04
0.42,0.22,0.14,0.12,0.0,0.0,0.04,0.06,3,exploration,8.90805,0.67008,,,Fe0.42Co0.22Mn0.14Ga0.12Ge0.04Pt0.06
0.54,0.06,0.18,0.1,0.0,0.0,0.08,0.04,3,exploration,8.40155,0.43342,,,Fe0.54Co0.06Mn0.18Ga0.10Ge0.08Pt0.04
