Fe,Co,Mn,Ga,Al,Si,Ge,Pt,kxx,S_ANE,kappa_source,cycle_added,reference,label,sample_id,historical_split
0.75,0,0,0.25,0,0,0,0,19.4804,5.878,measured,0,This work,Fe0.750Ga0.250,C1_S1_001,train
0.75,0,0,0,0.25,0,0,0,18.30473,4.00036,measured,0,This work,Fe0.750Al0.250,C1_S1_002,train
0.75,0,0,0,0,0.25,0,0,32.9355,2.30339,measured,0,This work,Fe0.750Si0.250,C1_S1_003,train
0.75,0,0,0.125,0,0,0.125,0,20.2354,2.882,measured,0,This work,Fe0.750Ga0.125Ge0.125,C1_S1_004,test
0.75,0,0,0.1875,0.0625,0,0,0,17.967,5.6,measured,0,This work,Fe0.750Ga0.188Al0.063,C1_S1_005,train
0.75,0,0,0.0625,0.1875,0,0,0,15.5168,4.82,measured,0,This work,Fe0.750Ga0.063Al0.188,C1_S1_006,train
0.75,0,0,0.125,0,0.125,0,0,16.6792,2.655,measured,0,This work,Fe0.750Ga0.125Si0.125,C1_S1_007,test
0.75,0,0,0,0.125,0.125,0,0,17.9094,2.391,measured,0,This work,Fe0.750Al0.125Si0.125,C1_S1_008,test
0.751879699,0,0,0.082706767,0.082706767,0.082706767,0,0,11.686,2.677,measured,0,This work,Fe0.752Ga0.083Al0.083Si0.083,C1_S1_009,test
0.751879699,0,0,0.082706767,0.082706767,0,0.082706767,0,16.66,3.513,measured,0,This work,Fe0.752Ga0.083Al0.083Ge0.083,C1_S1_010,test
0.75,0,0,0.0625,0.0625,0.0625,0.0625,0,15.8564,2.21314,measured,0,This work,Fe0.750Ga0.063Al0.063Si0.063Ge0.063,C1_S1_011,train
0.75,0,0,0.11,0.05,0.025,0.065,0,16.193,3.298,measured,0,This work,Fe0.750Ga0.110Al0.050Si0.025Ge0.065,C1_S1_012,train
0.75,0,0,0.0975,0.04,0.025,0.0875,0,18.0092,3.127,measured,0,This work,Fe0.750Ga0.098Al0.040Si0.025Ge0.088,C1_S1_013,test
0.75,0,0,0.0275,0.0125,0.1925,0.0175,0,17.8624,2.163,measured,0,This work,Fe0.750Ga0.028Al0.013Si0.193Ge0.018,C1_S1_014,train
0.75,0,0,0.07,0.1175,0.06,0.0025,0,14.6944,3.602,measured,0,This work,Fe0.750Ga0.070Al0.118Si0.060Ge0.003,C1_S1_015,train
0.75,0,0,0.08,0.1275,0.0125,0.03,0,14.5328,3.54,measured,0,This work,Fe0.750Ga0.08Al0.128Si0.013Ge0.030,C1_S1_016,train
0.75,0,0,0.005,0.065,0.0475,0.1325,0,16.6842,1.638,measured,0,This work,Fe0.750Ga0.005Al0.065Si0.048Ge0.133,C1_S1_017,train
0.75,0,0,0.1175,0.0325,0.0975,0.0025,0,12.9594,3.38,measured,0,This work,Fe0.750Ga0.1175Al0.0325Si0.0975Ge0.0025,C1_S1_018,train
0.75,0,0,0.0425,0.0775,0.0375,0.0925,0,20.3624,3.051,measured,0,This work,Fe0.750Ga0.043Al0.078Si0.038Ge0.093,C1_S1_019,train
0.75,0,0,0.1875,0,0,0,0.0625,13.276,3.853,measured,0,This work,Fe0.750Ga0.188Pt0.063,C1_S1_020,train
0.75,0,0,0,0,0,0,0.25,20.4252,2.98334,measured,0,This work,Fe0.750Pt0.250,C1_S1_021,train
0.75,0,0,0.125,0,0,0,0.125,17.6254,2.959,measured,0,This work,Fe0.750Ga0.125Pt0.125,C1_S1_022,train
0.5,0.125,0.125,0.25,0,0,0,0,10.6478,1.299,measured,0,This work,Fe0.500Co0.125Mn0.125Ga0.250,C1_S1_023,train
0.5,0.125,0.125,0,0.25,0,0,0,9.7722,0.134,measured,0,This work,Fe0.500Co0.125Mn0.125Al0.250,C1_S1_024,train
0.625,0,0.125,0.25,0,0,0,0,12.3818,1.361,measured,0,This work,Fe0.625Mn0.125Ga0.250,C1_S1_025,train
0.625,0,0.125,0,0.25,0,0,0,13.015,0.142,measured,0,This work,Fe0.625Mn0.125Al0.250,C1_S1_026,test
0,0.5,0.25,0.25,0,0,0,0,17.8466,5.479,measured,0,This work,Co0.500Mn0.250Ga0.250,C1_S1_027,train
0,0.5,0.25,0,0,0.25,0,0,23.2046,0.772,measured,0,This work,Co0.500Mn0.250Si0.250,C1_S1_028,test
0,0.5,0.25,0,0.25,0,0,0,13.9832,0.623,measured,0,This work,Co0.500Mn0.250Al0.250,C1_S1_029,train
0.25,0.25,0.25,0.25,0,0,0,0,8.5946,0.449,measured,0,This work,Fe0.250Co0.250Mn0.250Ga0.250,C1_S1_030,test
0.7375,0,0.0125,0.25,0,0,0,0,16.4972,4.935,measured,0,This work,Fe0.738Mn0.013Ga0.250,C1_S1_031,train
0.725,0,0.025,0.25,0,0,0,0,14.891,4.312,measured,0,This work,Fe0.725Mn0.025Ga0.250,C1_S1_032,train
0.75,0,0,0,0.0625,0.1875,0,0,16.95027112,2.629,model,0,[1],Fe0.750Al0.063Si0.188,C1_S1_033,train
0.75,0,0,0,0.1875,0.0625,0,0,14.42873606,2.972,model,0,[1],Fe0.750Al0.188Si0.063,C1_S1_034,train
0.75,0,0,0.175,0.075,0,0,0,18.26661804,5.609,model,0,[1],Fe0.750Ga0.175Al0.075,C1_S1_035,train
0.75,0,0,0.1625,0.0875,0,0,0,18.57836634,5.69,model,0,[1],Fe0.750Ga0.163Al0.088,C1_S1_036,train
0.75,0,0,0.15,0.1,0,0,0,18.83419328,5.598,model,0,[1],Fe0.750Ga0.150Al0.100,C1_S1_037,train
0.75,0,0,0.1375,0.1125,0,0,0,18.5284091,5.673,model,0,[1],Fe0.750Ga0.138Al0.113,C1_S1_038,train
0.75,0,0,0.1,0.15,0,0,0,17.47668019,5.007,model,0,[1],Fe0.750Ga0.100Al0.150,C1_S1_039,train
0.7875,0,0,0.2125,0,0,0,0,20.04246474,4.925,model,0,[2],Fe0.788Ga0.213,C1_S1_040,train
0.78,0,0,0.22,0,0,0,0,21.03977641,5.278,model,0,[2],Fe0.780Ga0.220,C1_S1_041,train
0.7725,0,0,0.2275,0,0,0,0,22.47168445,5.396,model,0,[2],Fe0.773Ga0.228,C1_S1_042,train
0.7675,0,0,0.2325,0,0,0,0,22.61136813,5.144,model,0,[2],Fe0.768Ga0.233,C1_S1_043,train
0.755,0,0,0.245,0,0,0,0,20.39716829,4.506,model,0,[2],Fe0.755Ga0.245,C1_S1_044,train
0.74,0,0,0.26,0,0,0,0,21.35234394,3.935,model,0,[2],Fe0.740Ga0.260,C1_S1_045,train
0.69,0,0,0.14,0.16,0,0,0.01,14.7144,3.515,measured,1,This work,Fe0.69Ga0.14Al0.16Pt0.01,,
0.69,0,0,0.24,0.06,0,0,0.01,12.786,3.617,measured,1,This work,Fe0.69Ga0.24Al0.06Pt0.01,,
0.45,0,0.25,0.09,0.19,0,0,0.02,7.2964,0.051,measured,1,This work,Fe0.45Mn0.25Ga0.09Al0.19Pt0.02,,
0.46,0,0.24,0.16,0.12,0,0,0.02,9.859,0.176,measured,1,This work,Fe0.46Mn0.24Ga0.16Al0.12Pt0.02,,
0.7,0,0,0.03,0.26,0,0,0.01,10.8356,2.159,measured,1,This work,Fe0.70Ga0.03Al0.26Pt0.01,,
