label,Fe,Ga,Al,Si,Ge,reference,S_ANE,kappa_L,kappa_total
Fe0.750Al0.063Si0.188,0.75,0.0,0.063,0.188,0.0,[1],2.629,6.8416,16.95027112
Fe0.750Al0.188Si0.063,0.75,0.0,0.188,0.063,0.0,[1],2.972,6.6755,14.42873606
Fe0.750Ga0.175Al0.075,0.75,0.175,0.075,0.0,0.0,[1],5.609,9.2904,18.26661804
Fe0.750Ga0.163Al0.088,0.75,0.163,0.088,0.0,0.0,[1],5.69,8.9460,18.57836634
Fe0.750Ga0.150Al0.100,0.75,0.15,0.1,0.0,0.0,[1],5.598,8.6622,18.83419328
Fe0.750Ga0.138Al0.113,0.75,0.138,0.113,0.0,0.0,[1],5.673,8.3832,18.5284091
Fe0.750Ga0.100Al0.150,0.75,0.1,0.15,0.0,0.0,[1],5.007,7.7268,17.47668019
Fe0.788Ga0.213,0.788,0.213,0.0,0.0,0.0,[2],4.925,12.8444,20.04246474
Fe0.780Ga0.220,0.78,0.22,0.0,0.0,0.0,[2],5.278,12.7849,21.03977641
Fe0.773Ga0.228,0.773,0.228,0.0,0.0,0.0,[2],5.396,12.7250,22.47168445
Fe0.768Ga0.233,0.768,0.233,0.0,0.0,0.0,[2],5.144,12.6886,22.61136813
Fe0.755Ga0.245,0.755,0.245,0.0,0.0,0.0,[2],4.506,12.6063,20.39716829
Fe0.740Ga0.260,0.74,0.26,0.0,0.0,0.0,[2],3.935,12.5177,21.35234394
