cycle,partition,seed,E_star,mae_kappa,mae_sane
1,0,2025,63,1.8927207499080234,0.4869750508169333
1,0,2026,95,2.2235119082281987,0.4555243174731732
1,0,2027,42,2.168419895130727,0.4902830344604121
1,0,2028,21,2.713671318127049,0.45948347248964855
1,0,2029,13,3.344666724933518,0.547447536289692
1,0,2030,117,2.1970150563286412,0.4304835890730223
1,0,2031,79,2.1387417812976577,0.49090348841415515
1,0,2032,29,2.8253448830048247,0.6265272084209653
1,0,2033,62,2.202671954168214,0.5042911816636723
1,0,2034,13,2.3059576197134124,0.580735868844721
1,0,2035,62,1.9575160152133964,0.47487314092616256
1,0,2036,52,2.52783355196317,0.4410940782601635
1,0,2037,49,1.8719949730982377,0.4925618341109818
1,0,2038,11,3.246927873823378,0.5576290539569326
1,0,2039,60,2.025766143086884,0.46331897578305664
1,0,2040,14,3.653110439777374,0.7493601554963323
1,0,2041,82,2.666073651524882,0.5108402165770529
1,0,2042,112,2.4104663614432016,0.494792981826597
1,0,2043,17,2.0233545547061498,0.5345688702331649
1,0,2044,59,2.2725267061922287,0.48297596223652384
1,1,2025,76,1.6460244290613473,0.5874985529979073
1,1,2026,31,1.4724793460385666,0.8288416463136675
1,1,2027,22,2.9350752442744037,0.5557415128416487
1,1,2028,46,1.9114340980185405,0.5386451119184493
1,1,2029,114,1.7355467023617686,0.5489551209078892
1,1,2030,79,1.2049610618584676,0.7014297595289022
1,1,2031,53,2.1692601757744936,0.645219314727518
1,1,2032,45,1.1744419511490398,0.48477708684073584
1,1,2033,56,1.4034647560450768,0.5324027326371937
1,1,2034,82,1.9845394511686427,0.4914055941502252
1,1,2035,37,1.9671707671880725,0.6534929912620119
1,1,2036,78,1.7382313389579451,0.5520075754324597
1,1,2037,87,1.7854369978275564,0.5260548885001076
1,1,2038,39,2.533019149477283,0.5340664503971737
1,1,2039,35,1.9819823718816036,0.6839591616723273
1,1,2040,48,2.411675351990593,0.4547116134232945
1,1,2041,66,1.8580050302876354,0.4603886969884237
1,1,2042,59,1.4037647191849003,0.4046158817079332
1,1,2043,31,2.424693156497346,0.6282887317736942
1,1,2044,61,2.203127085053258,0.5405361837148664
1,2,2025,43,1.5444015180567892,0.8454606204479933
1,2,2026,147,1.6218251966602273,0.47130167443719184
1,2,2027,79,1.3479097785717908,0.4276698827164042
1,2,2028,31,1.6029499030941063,0.5670226114988328
